ID,nome_pais,pais_codigo,tipo_informacao,codigo_de_serie,ano_2015,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023,ano_2024
,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.54576339269425,1.32286905404399,1.783666761634,1.22077782360842,-3.2767587964736,4.76260437908608,3.01669435393015,3.24165532906981,3.39586645454844
,Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,8936.19661712113,10080.5092819305,9300.66164923219,9029.83326681073,7074.19378337644,7972.5366498646,9281.33334441234,10377.5892792557,10280.3148624429
,Brazil,BRA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,7.56617500668908,3.67138450274919,4.4935343282916,4.22425886342708,6.47249962315726,13.0472708601388,8.57028196165616,5.15950107377019,3.79801408025078
,Brazil,BRA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,14540,14290,15030,15640,15770,17510,19300,20500,21650
,Brazil,BRA,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-3.51839166799859,-1.22429925769002,-2.80752008594698,-3.46989581435142,-1.687788053241,-2.4187656822737,-2.15975658541159,-1.27481070395724,-2.80783369862457
,Brazil,BRA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,5.4,6.9,6.9,7,2.8,7.5,4.9,3.8,0
,Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.106,75.383,75.633,75.809,74.506,73.038,74.872,75.848,0
,Brazil,BRA,Income share held by highest 20%,SI.DST.05TH.20,56.7,57.8,58.3,57.8,54.7,57.5,56.9,56.6,0
,Brazil,BRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,64738153494.44,68885491315.23,78183840044.98,69174411753.45,38270116307.45,46440503520.19,74606361830.23,62441880089.95,71069846845.21
,Brazil,BRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,12.900191418386,12.5189678698768,14.6349994955075,14.1229191913178,16.4535520094071,19.1094303688709,19.6307650034371,17.9693243032741,18.0146799833275
,Brazil,BRA,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,100,108.2,106.9,107,107.7,123.2,114.5,117.2,0
,Brazil,BRA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,17.4116258675005,14.6255875978858,15.0950416291605,15.5167908009424,16.1158206039466,19.5218850206383,18.0882204442366,15.7606472065087,16.9097275627217
,Brazil,BRA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,13.6296293660896,13.6052285149994,13.9401079937096,13.7376948371937,12.7193878561953,14.1366751329603,14.7258479184963,14.041862416944,0
,Brazil,BRA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.31914942964047,4.60059169568986,4.4203993038464,4.20501409463474,5.71148511499007,6.5587626121061,5.76747490819457,6.02306023526246,5.57967431437384